Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,Salary,,,Max Salary,Multipler
47,Nikola Vučević,34,CHI,C,73,72,2278,0.611,22.4,4.7,2.6,7.3,0.153,2.5,0.1,2.6,2.7,0.476,1.20834303,40.36951501,"37,517,478",,,,
23,Austin Reaves,26,LAL,SG,73,73,2550,0.616,23.7,5.6,2.1,7.6,0.144,2.4,-0.5,1.9,2.6,0.61,1.197028851,39.91685912,"37,096,802",,,,
197,Ty Jerome,27,CLE,SG,70,3,1392,0.643,23.6,4.2,1.8,5.9,0.204,3.5,0.8,4.3,2.2,0.78,1.155930825,39.68591224,"36,882,171",,,,
25,Pascal Siakam,30,IND,PF,78,78,2548,0.599,24.2,5,2.5,7.5,0.142,2.2,-0.5,1.7,2.4,0.61,1.108567586,39.45496536,"36,667,540",,,,
12,Bam Adebayo,27,MIA,C,78,78,2674,0.561,23.5,3.5,4,7.5,0.135,1,1,2,2.7,0.451,1.105680454,39.22401848,"36,452,909",,,,
234,Kristaps Porziņģis,29,BOS,C,42,42,1210,0.618,25.9,3.3,2,5.3,0.212,3.5,1.2,4.7,2.1,0.744,1.095139324,38.99307159,"36,238,278",,,,
89,Franz Wagner,23,ORL,SF,60,60,2023,0.558,31,2.6,3.1,5.6,0.133,2.6,0.5,3.1,2.6,0.5,1.070699586,38.76212471,"36,023,647",,,,
127,Kyrie Irving,32,DAL,SG,50,50,1804,0.594,27.4,3.4,1.3,4.6,0.124,3.9,-0.5,3.4,2.5,0.476,1.066289896,38.53117783,"35,809,016",,,,
58,Jaren Jackson Jr.,25,MEM,C,74,74,2207,0.591,28.1,3.2,3.2,6.4,0.139,1.6,0.8,2.3,2.4,0.585,1.031963171,38.30023095,"35,594,386",,,,
73,Josh Giddey,22,CHI,PG,70,69,2117,0.57,21.7,2.8,2.5,5.3,0.121,1.9,1.1,3,2.7,0.476,1.011371789,38.06928406,"35,379,755",,,,
129,Cameron Johnson,28,BRK,PF,57,57,1800,0.632,22.9,3.8,1.3,5.1,0.137,3.5,-0.4,3.1,2.3,0.317,1.010910371,37.83833718,"35,165,124",,,,
132,Luka Dončić,25,LAL,PG,28,28,984,0.59,34.5,2,1.4,3.4,0.164,5.5,1.1,6.5,2.1,0.61,0.984076799,37.6073903,"34,950,493",,,,
231,Daniel Gafford,26,DAL,C,57,31,1226,0.716,19.5,4.4,1.5,5.9,0.232,2.7,1.1,3.8,1.8,0.476,0.9681684,37.37644342,"34,735,862",,,,
138,Jimmy Butler,35,GSW,SF,30,30,980,0.617,20.6,3.7,1.2,4.9,0.242,3.8,1.2,5,1.7,0.585,0.967289385,37.14549654,"34,521,231",,,,
37,Rudy Gobert,32,MIN,C,72,72,2388,0.687,13,6.1,4,10.1,0.204,0.6,1.3,1.9,2.4,0.598,0.953862648,36.91454965,"34,306,600",,,,
295,Zion Williamson,24,NOP,PF,30,30,857,0.6,34.7,1.9,0.6,2.5,0.141,5.9,1,7,1.9,0.256,0.88566511,36.68360277,"34,091,969",,,,
