Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE,SALARY,,
47,Nikola Vucevic,34,CHI,C,73,72,2278,0.611,22.4,4.7,2.6,7.3,0.153,2.5,0.1,2.6,2.7,0.476,1.207289231,40.32407407,40324074.07,20000000,,
23,Austin Reaves,26,LAL,SG,73,73,2550,0.616,23.7,5.6,2.1,7.6,0.144,2.4,-0.5,1.9,2.6,0.61,1.196014718,39.89814815,39898148.15,12976362,,
197,Ty Jerome,27,CLE,SG,70,3,1392,0.643,23.6,4.2,1.8,5.9,0.204,3.5,0.8,4.3,2.2,0.78,1.154854824,39.66666667,39666666.67,2560975,,
25,Pascal Siakam,30,IND,PF,78,78,2548,0.599,24.2,5,2.5,7.5,0.142,2.2,-0.5,1.7,2.4,0.61,1.107646923,39.43518519,39435185.19,42176400,,
12,Bam Adebayo,27,MIA,C,78,78,2674,0.561,23.5,3.5,4,7.5,0.135,1,1,2,2.7,0.451,1.104769361,39.2037037,39203703.7,34848340,,
234,Kristaps Porzingis,29,BOS,C,42,42,1210,0.618,25.9,3.3,2,5.3,0.212,3.5,1.2,4.7,2.1,0.744,1.094104916,38.97222222,38972222.22,29268293,,
89,Franz Wagner,23,ORL,SF,60,60,2023,0.558,31,2.6,3.1,5.6,0.133,2.6,0.5,3.1,2.6,0.5,1.069679467,38.74074074,38740740.74,7007092,,
127,Kyrie Irving,32,DAL,SG,50,50,1804,0.594,27.4,3.4,1.3,4.6,0.124,3.9,-0.5,3.4,2.5,0.476,1.065340048,38.50925926,38509259.26,41000000,,
58,Jaren Jackson Jr.,25,MEM,C,74,74,2207,0.591,28.1,3.2,3.2,6.4,0.139,1.6,0.8,2.3,2.4,0.585,1.031057693,38.27777778,38277777.78,25257798,,
73,Josh Giddey,22,CHI,PG,70,69,2117,0.57,21.7,2.8,2.5,5.3,0.121,1.9,1.1,3,2.7,0.476,1.010516221,38.0462963,38046296.3,8352367,,
129,Cameron Johnson,28,BRK,PF,57,57,1800,0.632,22.9,3.8,1.3,5.1,0.137,3.5,-0.4,3.1,2.3,0.317,1.010037596,37.81481481,37814814.81,22500000,,
132,Luka Doncic,25,LAL,PG,28,28,984,0.59,34.5,2,1.4,3.4,0.164,5.5,1.1,6.5,2.1,0.61,0.983035927,37.58333333,37583333.33,43031940,,
231,Daniel Gafford,26,DAL,C,57,31,1226,0.716,19.5,4.4,1.5,5.9,0.232,2.7,1.1,3.8,1.8,0.476,0.967248008,37.35185185,37351851.85,13394160,,
138,Jimmy Butler,35,GSW,SF,30,30,980,0.617,20.6,3.7,1.2,4.9,0.242,3.8,1.2,5,1.7,0.585,0.966361605,37.12037037,37120370.37,48798677,,
37,Rudy Gobert,32,MIN,C,72,72,2388,0.687,13,6.1,4,10.1,0.204,0.6,1.3,1.9,2.4,0.598,0.952870615,36.88888889,36888888.89,43827586,,
